step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
163,7.5119,,1829.65,,4579,7155.7,7155.7,5341184,1167.5,1167.4,4.89e-04,0.8474,bf16,1.5B,32,1564837888
164,7.5122,,1830.21,,4572,7167.3,7167.3,5373952,1174.6,1174.6,4.92e-04,0.7763,bf16,1.5B,32,1564837888
165,7.6057,,2009.64,,4580,7154.5,7154.5,5406720,1181.8,1181.7,4.95e-04,1.1614,bf16,1.5B,32,1564837888
166,7.5100,,1826.28,,4594,7132.9,7132.9,5439488,1188.9,1188.8,4.98e-04,0.9267,bf16,1.5B,32,1564837888
167,7.5161,,1837.30,,4584,7148.4,7148.4,5472256,1196.1,1196.0,5.01e-04,2.0819,bf16,1.5B,32,1564837888
168,7.5463,,1893.77,,4590,7139.0,7139.0,5505024,1203.2,1203.1,5.04e-04,0.9203,bf16,1.5B,32,1564837888
169,7.4488,,1717.73,,4579,7155.7,7155.7,5537792,1210.3,1210.3,5.07e-04,0.8031,bf16,1.5B,32,1564837888
170,7.6950,,2197.35,,4590,7139.7,7139.7,5570560,1217.5,1217.4,5.10e-04,1.1100,bf16,1.5B,32,1564837888
171,7.5038,,1814.91,,4583,7149.8,7149.8,5603328,1224.6,1224.6,5.13e-04,0.9555,bf16,1.5B,32,1564837888
172,7.3379,,1537.41,,4573,7165.0,7165.0,5636096,1231.8,1231.7,5.16e-04,0.9650,bf16,1.5B,32,1564837888
173,7.7386,,2295.29,,4598,7125.9,7125.9,5668864,1238.9,1238.9,5.19e-04,1.1131,bf16,1.5B,32,1564837888
174,7.3847,,1611.17,,4591,7137.1,7137.1,5701632,1246.1,1246.0,5.22e-04,0.5522,bf16,1.5B,32,1564837888
175,7.4250,,1677.34,,4578,7158.1,7158.1,5734400,1253.2,1253.2,5.25e-04,0.8944,bf16,1.5B,32,1564837888
176,7.4216,,1671.78,,4594,7133.2,7133.2,5767168,1260.4,1260.3,5.28e-04,0.7518,bf16,1.5B,32,1564837888
177,7.3283,,1522.76,,4586,7145.8,7145.8,5799936,1267.5,1267.4,5.31e-04,0.9955,bf16,1.5B,32,1564837888
178,7.4447,,1710.77,,4589,7140.8,7140.8,5832704,1274.6,1274.6,5.34e-04,1.0820,bf16,1.5B,32,1564837888
179,7.5943,,1986.77,,4598,7125.9,7125.9,5865472,1281.8,1281.7,5.37e-04,0.9906,bf16,1.5B,32,1564837888
180,7.4045,,1643.43,,4593,7134.8,7134.8,5898240,1288.9,1288.8,5.40e-04,1.0642,bf16,1.5B,32,1564837888
181,7.4382,,1699.73,,4600,7123.0,7123.0,5931008,1296.0,1296.0,5.43e-04,1.3133,bf16,1.5B,32,1564837888
182,7.2565,,1417.22,,4582,7151.4,7151.4,5963776,1303.2,1303.1,5.46e-04,0.8765,bf16,1.5B,32,1564837888
183,7.5164,,1837.99,,4585,7146.8,7146.8,5996544,1310.3,1310.3,5.49e-04,1.2712,bf16,1.5B,32,1564837888
184,7.4760,,1765.24,,4593,7134.0,7134.0,6029312,1317.5,1317.4,5.52e-04,1.2785,bf16,1.5B,32,1564837888
185,7.4155,,1661.55,,4572,7167.7,7167.7,6062080,1324.6,1324.6,5.55e-04,0.7204,bf16,1.5B,32,1564837888
186,7.8536,,2574.97,,4583,7150.4,7150.4,6094848,1331.8,1331.7,5.58e-04,1.2725,bf16,1.5B,32,1564837888
187,7.3881,,1616.66,,4567,7174.7,7174.7,6127616,1339.0,1338.9,5.61e-04,1.6970,bf16,1.5B,32,1564837888
188,7.5324,,1867.63,,4593,7134.7,7134.7,6160384,1346.1,1346.0,5.64e-04,1.0082,bf16,1.5B,32,1564837888
189,7.2633,,1427.01,,4594,7132.2,7132.2,6193152,1353.2,1353.2,5.67e-04,0.8665,bf16,1.5B,32,1564837888
190,7.6701,,2143.37,,4576,7160.8,7160.8,6225920,1360.4,1360.3,5.70e-04,1.8403,bf16,1.5B,32,1564837888
191,7.3504,,1556.83,,4586,7144.5,7144.5,6258688,1367.5,1367.5,5.73e-04,1.6609,bf16,1.5B,32,1564837888
192,7.3997,,1635.48,,4574,7164.5,7164.5,6291456,1374.7,1374.6,5.76e-04,1.1242,bf16,1.5B,32,1564837888
193,7.3780,,1600.32,,4606,7114.6,7114.6,6324224,1381.8,1381.7,5.79e-04,0.7839,bf16,1.5B,32,1564837888
194,7.4084,,1649.77,,4597,7128.7,7128.7,6356992,1388.9,1388.9,5.82e-04,0.8904,bf16,1.5B,32,1564837888
